L,task,trained,reference_size,k,observed,alpha_own,alpha_pooled,pred_transfer,err_transfer,pred_last,err_last,pred_own,err_own
1,bpb_uzn_Latn,False,1.7B,4,2.501462,0.09253151121178553,0.14139020407186778,2.2740306255162515,-0.09091938013999358,2.578089,0.030632885888332413,2.4298566610692567,-0.028625395441043432
1,bpb_vie_Latn,False,1.7B,1,1.234642,0.144033107833355,0.1412960670598242,1.2240316427895737,-0.00859387353615571,1.687757,0.3670011225926219,,
1,bpb_vie_Latn,False,1.7B,2,1.234642,0.144033107833355,0.1412960670598242,1.1987130269234019,-0.029100721566736064,1.467644,0.1887202930080136,,
1,bpb_vie_Latn,False,1.7B,3,1.234642,0.144033107833355,0.1412960670598242,1.195507914147675,-0.03169670710402289,1.377637,0.11581899854370739,1.1473406353735953,-0.07070986134151008
1,bpb_vie_Latn,False,1.7B,4,1.234642,0.144033107833355,0.1412960670598242,1.2008219462219656,-0.027392599456388517,1.311652,0.06237435629113543,1.1963716994066076,-0.03099708303572406
1,bpb_zsm_Latn,False,1.7B,1,1.257896,0.19709593710350826,0.1412960670598242,1.4083750115491402,0.11962754595701103,1.941939,0.5437993284023482,,
1,bpb_zsm_Latn,False,1.7B,2,1.257896,0.19709593710350826,0.1412960670598242,1.344787440902109,0.06907680833877292,1.605358,0.27622474354000665,,
1,bpb_zsm_Latn,False,1.7B,3,1.257896,0.19709593710350826,0.1412960670598242,1.3184148204085955,0.04811114782827482,1.468104,0.1671107945330935,1.1421657873491056,-0.09200300553534978
1,bpb_zsm_Latn,False,1.7B,4,1.257896,0.19709593710350826,0.1412960670598242,1.307990411924806,0.039823969489374424,1.37665,0.09440685080483605,1.2126373122842538,-0.03597967376933081
2,bpb_afr_Latn,False,1.7B,1,1.611975,0.1798917802902457,0.16332255590354625,1.6675829262102342,0.03449676713983421,2.41743,0.4996696598892663,,
2,bpb_afr_Latn,False,1.7B,2,1.611975,0.1798917802902457,0.16332255590354625,1.6232241543239287,0.006978491802868414,2.045366,0.26885714728826443,,
2,bpb_afr_Latn,False,1.7B,3,1.611975,0.1798917802902457,0.16332255590354625,1.619409149327678,0.004611826689420223,1.910659,0.1852907148063712,1.5421592751977904,-0.043310674670642875
2,bpb_afr_Latn,False,1.7B,4,1.611975,0.1798917802902457,0.16332255590354625,1.6170298788322726,0.0031358295459127,1.755658,0.08913475705268382,1.581089816821472,-0.01915984005864108
2,bpb_als_Latn,False,1.7B,1,2.282916,0.1247259586936606,0.163719672507774,2.0705913640147213,-0.09300589070525539,3.0043670000000002,0.3160217020687577,,
2,bpb_als_Latn,False,1.7B,2,2.282916,0.1247259586936606,0.163719672507774,2.027673470635031,-0.11180548446152602,2.572028,0.12664154090645463,,
2,bpb_als_Latn,False,1.7B,3,2.282916,0.1247259586936606,0.163719672507774,2.0503057209862434,-0.10189173802880033,2.48605,0.0889800588370312,2.07297325475785,-0.091962536178357
2,bpb_als_Latn,False,1.7B,4,2.282916,0.1247259586936606,0.163719672507774,2.0879322199319716,-0.0854099669317787,2.405131,0.05353460223678827,2.2013492072737018,-0.035729213307146825
2,bpb_amh_Ethi,False,1.7B,1,1.580175,0.12103705125611135,0.163719672507774,1.383537426253637,-0.12444037764574369,2.007472,0.27041118863417013,,
2,bpb_amh_Ethi,False,1.7B,2,1.580175,0.12103705125611135,0.163719672507774,1.3829655372547147,-0.12480229262283316,1.79063,0.13318461562801578,,
2,bpb_amh_Ethi,False,1.7B,3,1.580175,0.12103705125611135,0.163719672507774,1.3995095385026028,-0.1143325653787696,1.699632,0.07559732308130424,1.4630909596323751,-0.0740956162245479
2,bpb_amh_Ethi,False,1.7B,4,1.580175,0.12103705125611135,0.163719672507774,1.4211158140216227,-0.10065922190793894,1.623003,0.02710332716313058,1.505827695925036,-0.04705004450454161
2,bpb_arb_Arab,False,1.7B,1,1.170711,0.16234333274536789,0.163719672507774,1.1173128556678653,-0.045611721707692794,1.621188,0.3847892434597437,,
2,bpb_arb_Arab,False,1.7B,2,1.170711,0.16234333274536789,0.163719672507774,1.0852469439094523,-0.07300183913070582,1.365389,0.16629039959477607,,
2,bpb_arb_Arab,False,1.7B,3,1.170711,0.16234333274536789,0.163719672507774,1.0874228670252544,-0.07114320526137166,1.294757,0.1059578324624949,1.0494150889819485,-0.10360875657446764
2,bpb_arb_Arab,False,1.7B,4,1.170711,0.16234333274536789,0.163719672507774,1.0936744764749524,-0.06580319440497923,1.213629,0.03665977341974237,1.0957183284037375,-0.06405737333659849
2,bpb_ars_Arab,False,1.7B,1,1.47077,0.11587379422032744,0.163719672507774,1.2791142148022094,-0.13030982763980126,1.855957,0.26189478980398034,,
