task,L,family,kind,n_rungs,gated_rungs,gated,slope,r2,rho,n_options
belebele_zho_Hans,8,belebele,benchmark,0,5,True,,,,4.0
belebele_zho_Hans,15,belebele,benchmark,0,5,True,,,,4.0
belebele_zho_Hans,30,belebele,benchmark,0,5,True,,,,4.0
belebele_zho_Hans,50,belebele,benchmark,0,5,True,,,,4.0
belebele_zho_Hant,8,belebele,benchmark,0,5,True,,,,4.0
belebele_zho_Hant,15,belebele,benchmark,0,5,True,,,,4.0
belebele_zho_Hant,30,belebele,benchmark,0,5,True,,,,4.0
belebele_zho_Hant,50,belebele,benchmark,0,5,True,,,,4.0
belebele_zsm_Latn,50,belebele,benchmark,0,5,True,,,,4.0
bpb_als_Latn,50,bpb,bpb,4,0,False,-0.7690231774008711,0.9641670111565267,-1.0,
bpb_arb_Arab,15,bpb,bpb,4,0,False,-0.3648077566561662,0.9651058045918709,-1.0,
bpb_arb_Arab,30,bpb,bpb,5,0,False,-0.322770063927592,0.9624811475788098,-0.9999999999999999,
bpb_arb_Arab,50,bpb,bpb,4,0,False,-0.37003584137648254,0.9602673712594302,-1.0,
bpb_azj_Latn,50,bpb,bpb,4,0,False,-0.6107915705588903,0.9635404243525469,-1.0,
bpb_ben_Beng,30,bpb,bpb,5,0,False,-0.22450195766668096,0.966845020536661,-0.9999999999999999,
bpb_ben_Beng,50,bpb,bpb,4,0,False,-0.2520814561262505,0.9661592910214715,-1.0,
bpb_bos_Latn,50,bpb,bpb,4,0,False,-0.6909076310065206,0.9523573798580015,-1.0,
bpb_bul_Cyrl,30,bpb,bpb,5,0,False,-0.30435516945668073,0.9433301037335236,-0.9999999999999999,
bpb_bul_Cyrl,50,bpb,bpb,4,0,False,-0.35871828686702883,0.9496127043072063,-1.0,
bpb_cat_Latn,50,bpb,bpb,4,0,False,-0.5800194854997544,0.946339735822673,-1.0,
bpb_ces_Latn,30,bpb,bpb,5,0,False,-0.49051281473986846,0.9460826420950107,-0.9999999999999999,
bpb_ces_Latn,50,bpb,bpb,4,0,False,-0.5625302811028144,0.9502502639490219,-1.0,
bpb_cmn_Hani,8,bpb,bpb,5,0,False,-0.44778112102463397,0.9449892368460158,-0.9999999999999999,
bpb_cmn_Hani,15,bpb,bpb,4,0,False,-0.4979391702088815,0.9605587527013165,-1.0,
bpb_cmn_Hani,30,bpb,bpb,5,0,False,-0.4356116933932738,0.9532892453523774,-0.9999999999999999,
bpb_cmn_Hani,50,bpb,bpb,4,0,False,-0.5031795128132884,0.9561105143251449,-1.0,
bpb_dan_Latn,30,bpb,bpb,5,0,False,-0.5285238669545758,0.9573860945251875,-0.9999999999999999,
bpb_dan_Latn,50,bpb,bpb,4,0,False,-0.6088240287340475,0.9564328089251697,-1.0,
bpb_dclm,1,bpb,bpb,5,0,False,-0.24257044514252843,0.9451063775593042,-0.9999999999999999,
bpb_dclm,2,bpb,bpb,5,0,False,-0.27538541105278136,0.9378115017963025,-0.9999999999999999,
bpb_dclm,8,bpb,bpb,5,0,False,-0.26858156338270833,0.9506681329402136,-0.9999999999999999,
