intervention,label,population,L,proxy_size,frac,reference_size,n_items,decision_acc,n_decided,decision_acc_decided,mean_abs_delta_proxy,mean_abs_delta_ref,reference_prefers
arch,depth (deep vs shallow),loss,1,350M,0.2,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,1,600M,0.2,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,1B,0.2,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,1,1.7B,0.2,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,1,175M,0.3,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,1,350M,0.3,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,600M,0.3,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,1B,0.3,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,1.7B,0.3,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,175M,0.4,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,1,350M,0.4,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,600M,0.4,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,1B,0.4,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,1,1.7B,0.4,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,175M,0.5,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,1,350M,0.5,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,600M,0.5,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,1,1B,0.5,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,1,1.7B,0.5,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,175M,0.6,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,1,350M,0.6,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,600M,0.6,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,1B,0.6,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,1.7B,0.6,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,1,175M,0.7,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,1,350M,0.7,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,600M,0.7,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,1B,0.7,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,1.7B,0.7,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,175M,0.8,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,350M,0.8,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,1,600M,0.8,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,1B,0.8,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,1.7B,0.8,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,175M,0.9,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,350M,0.9,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,1,600M,0.9,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,1B,0.9,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,1.7B,0.9,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,1,175M,1.0,1.7B,1,1.0,0,,0.0220000000000002,0.0097999999999998,deep
arch,depth (deep vs shallow),loss,1,350M,1.0,1.7B,1,1.0,0,,0.0249000000000001,0.0097999999999998,deep
arch,depth (deep vs shallow),loss,1,600M,1.0,1.7B,1,0.0,0,,0.0081999999999999,0.0097999999999998,deep
arch,depth (deep vs shallow),loss,1,1B,1.0,1.7B,1,1.0,0,,0.0142999999999999,0.0097999999999998,deep
arch,depth (deep vs shallow),benchmark,2,175M,0.1,1.7B,18,0.5555555555555556,3,0.6666666666666666,,,
arch,depth (deep vs shallow),benchmark,2,350M,0.1,1.7B,107,0.4018691588785046,20,0.25,,,
arch,depth (deep vs shallow),benchmark,2,600M,0.1,1.7B,107,0.3457943925233644,20,0.3,,,
arch,depth (deep vs shallow),benchmark,2,1B,0.1,1.7B,107,0.3551401869158878,20,0.3,,,
arch,depth (deep vs shallow),benchmark,2,1.7B,0.1,1.7B,107,0.4018691588785046,20,0.35,,,
arch,depth (deep vs shallow),benchmark,2,175M,0.2,1.7B,18,0.3333333333333333,3,0.3333333333333333,,,
arch,depth (deep vs shallow),benchmark,2,350M,0.2,1.7B,107,0.514018691588785,20,0.35,,,
arch,depth (deep vs shallow),benchmark,2,600M,0.2,1.7B,107,0.4859813084112149,20,0.7,,,
arch,depth (deep vs shallow),benchmark,2,1B,0.2,1.7B,107,0.4953271028037383,20,0.35,,,
arch,depth (deep vs shallow),benchmark,2,1.7B,0.2,1.7B,107,0.4392523364485981,20,0.35,,,
arch,depth (deep vs shallow),benchmark,2,175M,0.3,1.7B,18,0.6666666666666666,3,1.0,,,
arch,depth (deep vs shallow),benchmark,2,350M,0.3,1.7B,107,0.4018691588785046,20,0.2,,,
arch,depth (deep vs shallow),benchmark,2,600M,0.3,1.7B,107,0.4392523364485981,20,0.5,,,
arch,depth (deep vs shallow),benchmark,2,1B,0.3,1.7B,107,0.4953271028037383,20,0.45,,,
arch,depth (deep vs shallow),benchmark,2,1.7B,0.3,1.7B,107,0.3831775700934579,20,0.6,,,
arch,depth (deep vs shallow),benchmark,2,175M,0.4,1.7B,18,0.4444444444444444,3,0.6666666666666666,,,
arch,depth (deep vs shallow),benchmark,2,350M,0.4,1.7B,107,0.4485981308411215,20,0.55,,,
arch,depth (deep vs shallow),benchmark,2,600M,0.4,1.7B,107,0.3551401869158878,20,0.5,,,
arch,depth (deep vs shallow),benchmark,2,1B,0.4,1.7B,107,0.3644859813084112,20,0.35,,,
arch,depth (deep vs shallow),benchmark,2,1.7B,0.4,1.7B,107,0.5233644859813084,20,0.4,,,
arch,depth (deep vs shallow),benchmark,2,175M,0.5,1.7B,18,0.5,3,0.6666666666666666,,,
arch,depth (deep vs shallow),benchmark,2,350M,0.5,1.7B,107,0.4018691588785046,20,0.3,,,
arch,depth (deep vs shallow),benchmark,2,600M,0.5,1.7B,107,0.411214953271028,20,0.35,,,
arch,depth (deep vs shallow),benchmark,2,1B,0.5,1.7B,107,0.3457943925233644,20,0.35,,,
arch,depth (deep vs shallow),benchmark,2,1.7B,0.5,1.7B,107,0.4205607476635514,20,0.3,,,
arch,depth (deep vs shallow),benchmark,2,175M,0.6,1.7B,18,0.3888888888888889,3,0.3333333333333333,,,
arch,depth (deep vs shallow),benchmark,2,350M,0.6,1.7B,107,0.4392523364485981,20,0.35,,,
arch,depth (deep vs shallow),benchmark,2,600M,0.6,1.7B,107,0.4485981308411215,20,0.45,,,
arch,depth (deep vs shallow),benchmark,2,1B,0.6,1.7B,107,0.3831775700934579,20,0.35,,,
arch,depth (deep vs shallow),benchmark,2,1.7B,0.6,1.7B,107,0.4672897196261682,20,0.4,,,
arch,depth (deep vs shallow),benchmark,2,175M,0.7,1.7B,18,0.4444444444444444,3,0.3333333333333333,,,
arch,depth (deep vs shallow),benchmark,2,350M,0.7,1.7B,107,0.4766355140186916,20,0.5,,,
arch,depth (deep vs shallow),benchmark,2,600M,0.7,1.7B,107,0.4579439252336448,20,0.3,,,
arch,depth (deep vs shallow),benchmark,2,1B,0.7,1.7B,107,0.4579439252336448,20,0.35,,,
arch,depth (deep vs shallow),benchmark,2,1.7B,0.7,1.7B,107,0.5794392523364486,20,0.7,,,
arch,depth (deep vs shallow),benchmark,2,175M,0.8,1.7B,18,0.5555555555555556,3,0.6666666666666666,,,
arch,depth (deep vs shallow),benchmark,2,350M,0.8,1.7B,107,0.4579439252336448,20,0.5,,,
arch,depth (deep vs shallow),benchmark,2,600M,0.8,1.7B,107,0.5046728971962616,20,0.65,,,
arch,depth (deep vs shallow),benchmark,2,1B,0.8,1.7B,107,0.5046728971962616,20,0.55,,,
arch,depth (deep vs shallow),benchmark,2,1.7B,0.8,1.7B,107,0.4953271028037383,20,0.5,,,
arch,depth (deep vs shallow),benchmark,2,175M,0.9,1.7B,18,0.5,3,0.6666666666666666,,,
arch,depth (deep vs shallow),benchmark,2,350M,0.9,1.7B,107,0.4392523364485981,20,0.4,,,
arch,depth (deep vs shallow),benchmark,2,600M,0.9,1.7B,107,0.4859813084112149,20,0.45,,,
arch,depth (deep vs shallow),benchmark,2,1B,0.9,1.7B,107,0.4205607476635514,20,0.35,,,
arch,depth (deep vs shallow),benchmark,2,1.7B,0.9,1.7B,107,0.7102803738317757,20,0.9,,,
arch,depth (deep vs shallow),benchmark,2,175M,1.0,1.7B,18,0.4444444444444444,3,0.6666666666666666,0.0134052777777777,0.0144796666666666,deep
