intervention,label,population,proxy_size,frac,da,cells,items,refs
scheme,language lists (A vs B),bpb_macro,1.7B,0.8,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,1.7B,0.9,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,175M,0.1,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,175M,0.2,0.3333333333333333,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,175M,0.3,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,175M,0.4,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,175M,0.5,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,175M,0.6,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,175M,0.7,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,175M,0.8,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,175M,0.9,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,175M,1.0,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,1B,0.1,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,1B,0.2,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,1B,0.3,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,1B,0.4,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,1B,0.5,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,1B,0.6,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,1B,0.7,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,1B,0.8,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,1B,0.9,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,1B,1.0,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,350M,0.1,0.6666666666666666,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,350M,0.2,0.6666666666666666,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,350M,0.3,0.6666666666666666,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,350M,0.4,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,350M,0.5,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,350M,0.6,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,350M,0.7,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,350M,0.8,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,350M,0.9,0.6666666666666666,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,350M,1.0,0.6666666666666666,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,600M,0.1,0.6666666666666666,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,600M,0.2,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,600M,0.3,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,600M,0.4,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,600M,0.5,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,600M,0.6,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,600M,0.7,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,600M,0.8,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,600M,0.9,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_macro,600M,1.0,1.0,3,3,1.7B
scheme,language lists (A vs B),bpb_trained,1.7B,0.1,1.0,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,1.7B,0.2,1.0,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,1.7B,0.3,1.0,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,1.7B,0.4,1.0,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,1.7B,0.5,1.0,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,1.7B,0.6,1.0,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,1.7B,0.7,1.0,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,1.7B,0.8,0.9871794871794872,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,1.7B,0.9,1.0,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,175M,0.1,0.1905982905982906,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,175M,0.2,0.864957264957265,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,175M,0.3,0.5683760683760684,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,175M,0.4,0.6794871794871794,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,175M,0.5,1.0,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,175M,0.6,0.40170940170940167,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,175M,0.7,0.335042735042735,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,175M,0.8,0.40170940170940167,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,175M,0.9,0.40170940170940167,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,175M,1.0,0.40170940170940167,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,1B,0.1,0.7923076923076923,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,1B,0.2,0.9102564102564102,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,1B,0.3,0.8717948717948718,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,1B,0.4,0.8333333333333334,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,1B,0.5,0.8333333333333334,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,1B,0.6,0.8333333333333334,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,1B,0.7,0.8076923076923076,3,37,1.7B
scheme,language lists (A vs B),bpb_trained,1B,0.8,0.717948717948718,3,37,1.7B
