task,family,language,n_size_fits,r2_size,rho_size,n_trajectory_fits,r2_trajectory,regime
rf_belebele_deu_Latn,rf_belebele,de,4,0.987277139010764,1.0,20,0.8391647373534136,predictable across both
rf_belebele_ell_Grek,rf_belebele,el,2,0.9641142270290638,1.0,10,0.8175331632415503,predictable across both
rf_belebele_eng_Latn,rf_belebele,en,6,0.9755030949240594,1.0,27,0.8925445761807815,predictable across both
rf_belebele_fin_Latn,rf_belebele,fi,2,0.857030141190755,1.0,10,0.673226118221235,predictable across both
rf_belebele_fra_Latn,rf_belebele,fr,4,0.9750036850335178,1.0,20,0.7784151792772533,predictable across both
rf_belebele_hun_Latn,rf_belebele,hu,2,0.9843202512592998,1.0,8,0.7052427914007626,predictable across both
rf_belebele_ind_Latn,rf_belebele,id,3,0.9871805084494788,1.0,15,0.7760092680333401,predictable across both
rf_belebele_ita_Latn,rf_belebele,it,4,0.9166812132222929,0.9873397172404482,20,0.6935619922748049,predictable across both
rf_belebele_jpn_Jpan,rf_belebele,ja,4,0.9214303028471684,0.974341649025257,16,0.784194538604478,predictable across both
rf_belebele_kor_Hang,rf_belebele,ko,2,0.927679289273317,1.0,10,0.6881825489445206,predictable across both
rf_belebele_nld_Latn,rf_belebele,nl,3,0.9208250998080144,1.0,15,0.632607449227466,predictable across both
rf_belebele_nob_Latn,rf_belebele,no,2,0.9875530551516223,1.0,10,0.7320802080543458,predictable across both
rf_belebele_pes_Arab,rf_belebele,fa,3,0.9619387797174896,1.0,15,0.6550300947440431,predictable across both
rf_belebele_pol_Latn,rf_belebele,pl,3,0.9378664254632016,1.0,15,0.6548387927497192,predictable across both
